Date Received,Your Title,Title-Level,Gender,Location,City,Global Region,Current Tenure,Was your previous role a CISO / Head of Security position?,Current Company Size,Industry,Industry Tier,Company Structure,Title of person you report to?,Annual Base,Annual Bonus,Est Annual Equity,Total Compensation,Which of the following functions fall under your direct responsibility and decision-making authority?,Team Size,How often do you present to the Board of Directors?,Did your most recent employment offer include a hiring bonus?,Amount of employment offer bonus?,Employment Bonus - Converted,Have you pre-negotiated a severance agreement as part of your employment?,Are you currently included in the following?,Do you have a negotiated accelerated vesting clause / early termination agreement?,Are you currently on a Board of Directors?,Are you currently on a Board of Advisors?,Are you compensated for your Advisor role?,What is the primary measure you use to justify your security budget requirements?,Do you have a personal liability insurance policy in place?,"When it comes to AI security, which area do you believe should receive the highest spending priority within the CISO’s security program?",How would you rate your organization’s current maturity in the area of AI governance and risk management?,What percentage of your organization’s overall annual information security budget do you plan to allocate to AI security?,Which aspect of AI governance and risk management poses the greatest challenge for your organization today?,What are your greatest concerns regarding AI tools in your organization?,Which AI risk management or governance frameworks is your organization currently using or planning to adopt?,Which attack vectors are your organization's highest security priorities for 2026?,"How confident are you in your internal team’s capability to evaluate and verify technical depth, leadership, and domain fit when sourcing security candidates?",Which trade-offs make hiring a security leader most difficult or costly for your organization?,Is your organization planning / considering on hiring a dedicated AI Security Leader,Record_Type,Role_Bucket,Company
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"New York, NY, USA",NYC Metro,North America,11,Yes,500 - 999 employees,Aerospace & Defense,High Consequence,Privately Held Company,CEO,"$405,000","$60,000","$105,000","$570,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Security Operations,Third Party Risk Management (TPRM)",30,At least annually,No,,,No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Ensuring transparency and explainability of AI-driven decisions,"Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors",ISO/IEC 23894 (AI Risk Management),"AI-enhanced attacks,Identity/credential theft",Somewhat confident,"Lack of alignment on the role requirements,Location (RTO) constraints limiting hiring",Already have a dedicated AI Security leader in place,Synthetic,CISO,SHI International
Synthetic-2026,Deputy CSO,NextGen,Male,"Denver, CO, USA",Denver,North America,84,No,"25,000+ employees",Healthcare,High Consequence,Publicly Traded Company,CISO,"$405,000","$176,000",,"$581,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Cloud Security,Corp IT Security / Enterprise Security,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",18,I do not report to the Board of Directors,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Ensuring transparency and explainability of AI-driven decisions,"Data exposure/privacy breaches,Regulatory compliance violations",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,IoT/OT device vulnerabilities",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,No,Synthetic,Deputy CISO,Fidelity
Synthetic-2026,Director - Security Architecture and Engineering,NextGen,Male,"Kansas City, MO, USA",Kansas City,North America,10,No,"5000 - 9,999 employees",Banking / Financial Services,High Consequence,Publicly Traded Company,CISO,"$405,000","$20,000","$165,000","$590,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Infrastructure Engineering / Operations,Security Operations,Third Party Risk Management (TPRM)",10,I do not report to the Board of Directors,No,,,No,Neither,Yes,No,No,No,"Business Impact,Compliance and Regulatory Fine(s) Avoidance",Yes,Monitoring and detection for AI-driven threats,Developing but inconsistent,1,Defining clear accountability/ownership for AI risk across the business,"Dependency on AI vendors with unclear security practices,Shadow AI usage bypassing security controls",NIST AI Risk Management Framework (AI RMF),"Identity/credential theft,Insider threats,IoT/OT device vulnerabilities",Somewhat confident,Time spent screening unqualified candidates,No,Synthetic,Director Security Engineering,BlackRock
Synthetic-2026,"Director, Security Engineering",NextGen,Male,Remote,Remote,North America,13,No,500 - 999 employees,Banking / Financial Services,High Consequence,Privately Held Company,CISO,"$405,000","$39,000","$156,000","$600,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,Identity & Access Management / IAM,Privacy,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",4,I do not report to the Board of Directors,Yes,"$50,000","$50,000",No,Neither,No,No,No,No,"Business Impact,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Initial / ad hoc efforts,1,Shadow AI,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls",None at this time,"AI-enhanced attacks,Phishing/social engineering,Ransomware,Third party risk attacks,Zero-day exploits",Very confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Synthetic,Director Security Engineering,CDW
Synthetic-2026,CISO,CISO / Head Security Level,Male,"Atlanta, GA, USA",Atlanta,North America,56,Yes,1000 - 4999 employees,Healthcare,High Consequence,Privately Held Company,Chief Financial Officer,"$405,000","$20,000","$195,000","$620,000","AI Data Protection / Privacy and Security,AI/ML Security Engineering,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Product Security / AppSec,Security Operations",27,At least semi-annually,Yes,"$50,000","$50,000",No,Neither,No,No,No,No,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics",No,Third-party/vendor AI risk management,Established and repeatable,5,Establishing regulatory compliance and auditability for AI systems,"AI decision-making in security tools creating blind spots,AI-generated content being used in social engineering attacks",NIST AI Risk Management Framework (AI RMF),"Cloud misconfigurations,Third party risk attacks",Not confident,"Location (RTO) constraints limiting hiring,Risk of hiring someone who looks good on paper but lacks depth",I am the AI Security leader,Synthetic,CISO,Navan
11/9/2025,"SVP, Security & IT",CISO / Head Security Level,Male,San Diego,San Diego,North America,63,Yes,250 - 499 employees,BioTech,High Consequence,Privately Held Company,Chief Financial Officer,"$405,000","$48,600","$275,000","$728,600","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Fraud,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Information Technology (IT) / Business Technology (BizApps),Product Security / AppSec,Security Operations,Trust & Safety,Other",12,Per request,Yes,"$10,000.00","$10,000.00",No,Neither,No,No,No,,"Attack Surface / Risk Assessment,Business Impact,Financial and/or Risk-Based Metrics,Compliance and Regulatory Fine(s) Avoidance",No,Workforce training and upskilling on AI risks,Developing but inconsistent,15,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,AI decision-making in security tools creating blind spots",ISO/IEC 23894 (AI Risk Management),"Insider threats,Cloud misconfigurations",Not confident,"Risk of hiring someone who looks good on paper but lacks depth,Time spent screening unqualified candidates",No,Actual,CISO,
12/25/2025,CEO,CISO / Head Security Level,Male,"Walnut Creek, CA USA",Bay Area,North America,0,Yes,< 250 employees,Artificial Intelligence (AI),High Consequence,Privately Held Company,Chief Product Officer,"$405,000","$50,000","$500,000","$955,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,Corp IT Security / Enterprise Security",2,At least semi-annually,No,,,Yes,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Compliance and Regulatory Fine(s) Avoidance,Attack Surface / Risk Assessment,Percentage of company revenue,Business Impact,Financial and/or Risk-Based Metrics",Yes,Third-party/vendor AI risk management,Developing but inconsistent,5,Aligning AI security with enterprise risk management frameworks,Shadow AI usage bypassing security controls,NIST AI Risk Management Framework (AI RMF),"AI-enhanced attacks,API security",Somewhat confident,Risk of hiring someone who looks good on paper but lacks depth,I am the AI Security leader,Actual,CISO,
12/22/2025,"VP, CISO",CISO / Head Security Level,Male,"Princeton, NJ USA",NYC Metro,North America,92,Yes,1000 - 4999 employees,Pharma,High Consequence,Privately Held Company,Chief Technology Officer,"$405,000","$87,000","$640,000","$1,132,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,Cloud Security,AI Threat Intelligence and Incident Response,Enterprise Risk,Corp IT Security / Enterprise Security,GRC,Incident Response,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM),Trust & Safety",7,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,No,,"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Established and repeatable,5,Defining clear accountability/ownership for AI risk across the business,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Regulatory compliance violations","NIST AI Risk Management Framework (AI RMF),EU AI Act requirements (compliance-driven)","AI-enhanced attacks,Cloud misconfigurations,Phishing/social engineering",Very confident,Risk of hiring someone who looks good on paper but lacks depth,No,Actual,CISO,
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Los Angeles, CA, USA",Los Angeles,North America,40,Yes,250 - 499 employees,Enterprise SaaS,High Consequence,Privately Held Company,CEO,"$405,000","$112,000","$1,000,000","$1,517,000","AI Data Protection / Privacy and Security,AI Governance / Risk Management and Policy,AI Safety & Reliability,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Privacy,Product Security / AppSec,Third Party Risk Management (TPRM)",4,At least annually,No,,,No,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Compliance and Regulatory Fine(s) Avoidance,Financial and/or Risk-Based Metrics",No,Monitoring and detection for AI-driven threats,Developing but inconsistent,2,Managing third-party/vendor AI risk,"Data exposure/privacy breaches,Dependency on AI vendors with unclear security practices,Integration with critical systems creating attack vectors,Regulatory compliance violations","EU AI Act requirements (compliance-driven),None at this time","Cloud misconfigurations,Third party risk attacks",Not confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",No,Synthetic,CISO,Securonix
Synthetic-2026,Global CISO,CISO / Head Security Level,Male,"Austin, TX, USA",Austin,North America,24,No,"25,000+ employees",FinTech,High Consequence,Publicly Traded Company,General Counsel / Chief Legal Officer,"$410,000","$160,000","$370,000","$940,000","AI Data Protection / Privacy and Security,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Incident Response,Privacy,Security Operations",30,At least quarterly,No,,,No,Corporate Directors & Officers (D&O) Policy,No,No,Yes,Yes (Cash and / or Equity),"Attack Surface / Risk Assessment,Financial and/or Risk-Based Metrics",No,"AI model and data protection (e.g., model inversion, prompt injection, inference attacks, etc)",Developing but inconsistent,10,Other,"Regulatory compliance violations,Shadow AI usage bypassing security controls","EU AI Act requirements (compliance-driven),NIST AI Risk Management Framework (AI RMF)","API security,Insider threats",Not confident,"Competing with salary expectations in the market,Lack of alignment on the role requirements,Uncertainty in defining the right skills and profile for the role",I am the AI Security leader,Synthetic,CISO,Prologis
1/5/2026,CISO & CIO,CISO / Head Security Level,Male,"San Francisco, CA, USA",Bay Area,North America,18,Yes,1000 - 4999 employees,Enterprise SaaS,High Consequence,Publicly Traded Company,Chief Financial Officer,"$410,000","$140,000","$750,000","$1,300,000","AI Data Protection / Privacy and Security,AI Ethics & Responsible Use,AI Governance / Risk Management and Policy,AI Safety & Reliability,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,Enterprise Risk,GRC,Identity & Access Management / IAM,Incident Response,Information Technology (IT) / Business Technology (BizApps),Infrastructure Engineering / Operations,Physical Security / Executive Protection,Post-Quantum Cryptography (PQC),Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",16,At least quarterly,Yes,"$100,000.00","$100,000.00",Yes,"Corporate Directors & Officers (D&O) Policy,Corporate Indemnification Policy",Yes,No,Yes,Yes (Cash and / or Equity),"Business Impact,Attack Surface / Risk Assessment",Yes,Monitoring and detection for AI-driven threats,Established and repeatable,5,Establishing regulatory compliance and auditability for AI systems,"Data exposure/privacy breaches,Shadow AI usage bypassing security controls","NIST AI Risk Management Framework (AI RMF),Other","Third party risk attacks,Cloud misconfigurations",Somewhat confident,Location (RTO) constraints limiting hiring,No,Actual,CISO,
10/17/2025,CISO,CISO / Head Security Level,Male,"Boston, MA USA",Boston,North America,25,Yes,"5000 - 9,999 employees",Enterprise SaaS,High Consequence,Publicly Traded Company,Chief Financial Officer,"$410,000","$125,000","$800,000","$1,335,000","AI Data Protection / Privacy and Security,AI Threat Intelligence and Incident Response,AI/ML Security Engineering,Cloud Security,Corp IT Security / Enterprise Security,GRC,Identity & Access Management / IAM,Incident Response,Physical Security / Executive Protection,Product Security / AppSec,Security Operations,Third Party Risk Management (TPRM)",100,At least quarterly,Yes,"$100,000.00","$100,000.00",Yes,Neither,No,No,No,,"Attack Surface / Risk Assessment,Business Impact",No,Workforce training and upskilling on AI risks,Developing but inconsistent,5,Shadow AI,"Data exposure/privacy breaches,Integration with critical systems creating attack vectors","NIST AI Risk Management Framework (AI RMF),ISO/IEC 23894 (AI Risk Management)","AI-enhanced attacks,API security",Somewhat confident,"Competing with salary expectations in the market,Time spent screening unqualified candidates",I am the AI Security leader,Actual,CISO,
